Index,馬名,生年月日,調教師,馬主,生産者,産地,セリ取引価格,父,母,母父,POG期間賞金_半期,POG期間賞金_通年
2012100000,,,,,,,,,,,,
2012100001,アヴィドの2012 　,2012年3月8日, ,,赤石久夫,新冠町,,ウインラディウス,アヴィド,マヤノトップガン,0,0
2012100002,イナズマセレーネの2012 　,2012年4月19日, ,,赤石久夫,新冠町,,スターリングローズ,イナズマセレーネ,マヤノトップガン,0,0
2012100003, □地ゲオグラフィア 　,2012年2月15日,藪口一麻 (浦和),（有）太盛,赤石久夫,新冠町,158万円 (2013年 北海道オータムセール),ソングオブウインド,キヌガサアジュディ,アジュディケーティング,0.00,0.00
2012100004,グローバルカードの2012 　,2012年5月1日, ,,赤石久夫,新冠町,,イーグルカフェ,グローバルカード,キャロルハウス,0,0
2012100005,マイネルネッツ 　,2012年4月12日,金成貴史 (美浦),サラブレッドクラブ・ラフィアン,赤石久夫,新冠町,,アグネスデジタル,サンディフォルス,サンデーサイレンス,500.00,500.00
2012100006,ヌンチェルラ 　,2012年2月20日,高橋裕 (美浦),湯浅徳昭,赤石久夫,新冠町,,ショウナンカンプ,サンライトフォリア,カーネギー,0.00,200.00
2012100007,シンカンキヨフジの2012 　,2012年3月16日, ,,赤石久夫,新冠町,,ソングオブウインド,シンカンキヨフジ,アジュディケーティング,0,0
2012100008, □地メガンテ 　,2012年5月5日,嶋田幸晴 (大井),（株）Ｔ．Ｕ．Ｋ．,赤石久夫,新冠町,126万円 (2013年 北海道オータムセール),イーグルカフェ,シンカンノゾミ,アスワン,437.50,829.70
2012100009,ヴァッハウ 　,2012年4月27日,田村康仁 (美浦),ラ・メール,赤石久夫,新冠町,,ファスリエフ,シンカンメグミ,マルゼンスキー,0.00,1490.00
2012100010,ワイドバレンティア 　,2012年4月5日,大久保龍 (栗東),幅田昌伸,赤石久夫,新冠町,378万円 (2013年 北海道オータムセール),ウインラディウス,デミングガール,Meadowlake,0.00,0.00
2012100011,ディアクリューソス 　,2012年3月8日,松永康利 (美浦),高樽さゆり,赤石久夫,新冠町,,スターリングローズ,トモシロメリー,タマモクロス,0.00,46.80
2012100012,ニシノコマチの2012 　,2012年3月2日, ,,赤石久夫,新冠町,,ウインラディウス,ニシノコマチ,Miswaki,0,0
2012100013,ネロフェニーチェの2012 　,2012年2月5日, ,,赤石久夫,新冠町,,スターリングローズ,ネロフェニーチェ,ウォーニング,0,0
2012100014,プリンセススズカの2012 　,2012年4月30日, ,,赤石久夫,新冠町,,ウインラディウス,プリンセススズカ,ジェイドロバリー,0,0
2012100015,ラブの2012 　,2012年5月15日, ,,赤石久夫,新冠町,,スターリングローズ,ラブ,シアトルダンサーII,0,0
2012100016,ローレルピュアーの2012 　,2012年4月12日, ,,赤石久夫,新冠町,,スターリングローズ,ローレルピュアー,トニービン,0,0
2012100017,ギンガメテオール 　,2012年2月13日,本間忍 (美浦),森山進,秋田牧場,新冠町,,クロフネ,アイアイボタン,アドマイヤベガ,180.00,759.00
2012100018,モンサンビアンカ 　,2012年3月20日,菊沢隆徳 (美浦),山下新一,秋田牧場,新冠町,,キンシャサノキセキ,エーピーサルート,エーピーダンサー,200.00,772.00
2012100019,パンプキンパイ 　,2012年3月21日,西橋豊治 (栗東),山本茂,秋田牧場,新冠町,452万円 (2013年 北海道サマーセール),ステイゴールド,クリスティーナサンチェス,El Prado,125.00,125.00
2012100020, □地トーセンヌーヴォー 　,2012年4月24日,小久保智 (浦和),島川隆哉,秋田牧場,新冠町,,ネオユニヴァース,シシーダルザス,Sicyos,280.00,375.00
2012100021, □地ケンホットロード 　,2012年3月2日,荒山勝徳 (大井),（株）エスティ,秋田牧場,新冠町,,マンハッタンカフェ,ストーミングヘヴン,ヘネシー,82.00,346.00
2012100022,トーセンジャズ 　,2012年2月7日,奥平雅士 (美浦),島川隆哉,秋田牧場,新冠町,"1,050万円 (2012年 セレクトセール)",ハーツクライ,スリリングヴィクトリー,Event of the Year,180.00,226.00
2012100023, □地ミストラルジョワ 　,2012年3月4日,森沢友貴 (兵庫),森岡幸人,秋田牧場,新冠町,,Elusive Quality,マジックポーションII,Danehill Dancer,110.00,110.00
